
tvbus土星港澳
**JStar极限电影台,tvbus://6FPNBzRsYXHBDN6wicZW2dmNv4z7jZJdekBKaeTZbxFu63sSCSjYd6GZaCZBR 
衛視電影台,tvbus://5au5QAR4QVNUXum4PLi7z
東森電影,tvbus://5KVKy5MZ69VvVapedT8GC
纬来电影,tvbus://5XDwXtHqpxQFkV9kv3JUr
龙祥时代,tvbus://6LPRczsLaX5Zg1GATf3R7
HBO_HD,tvbus://5opYE6ErJoLGfYc4vUN9W
東森洋片,tvbus://6dTYTD7sdGGBDNnToo42N
AXN,tvbus://6Tuzxb72WjjEXqCn6YG8Y
好萊塢電影_HD,tvbus://5KrB5QCAYhhvfJ4c8jiUP
Fox_Movies,tvbus://5i2AgQmMgxMdEnaVsmcjN
CINEMAX_HD,tvbus://5ehU7TgbheBuRFcsKK1PQ
纬来育乐,tvbus://5XuZLifLBB4dzkfzoKA93
緯來體育_HD,tvbus://6dvyXxrgyK2SDTDRbvo7e
FOX_SPORTS_HD,tvbus://6ZoiQNkhZSPfY9s3VffwM
FOX_SPORTS_2,tvbus://6W2ozVmfTVdGadVhv6F75
Eleven_Sport,tvbus://5NrQ5pvLs9nQVyZtWJYJQ
緯來日本_HD,tvbus://6aXrMD1Fq4WUmnGWi2jLE
國興衛視,tvbus://5SX9vAMYLsHuC9UPJvZSG
Z频道,tvbus://6R1Mb1nKR5CvDNMeoPgdw
华视新闻资讯HD,tvbus://5v634cmpVDfScXt8753if
靖洋戲劇台,tvbus://6ZBX5si4NTQrSwWLTk2qk
FOX頻道,tvbus://6YLw3eozv6kQqv9CcB3Vn
八大娛樂,tvbus://68HTXA74c984HSYJrg7um
MTV_Live,tvbus://6KkQcWWPHAd5MuTaseQea
三立财经台,tvbus://5ZbnUfiKH4jFZ7uQoMMgk
龍華戲劇,tvbus://5bBUJ3ztc56iCX5ZBkbap
龍華動畫,tvbus://61YbuC57vn89TinNh2chc
龍華電影,tvbus://6LwUVDeFb8Jsbakw6NkRV
Fox_Action,tvbus://6EPSdeqvXNb7KLxD89cY9
龍華洋片,tvbus://6V8xXw3yHZrGVLyzCjzdV
公視二台,tvbus://5TiPr2DjeUVndyJeyKN4s
华藏卫视,tvbus://5KJu4mHQebPojUWthRKPc
BOOMERANG,tvbus://8YuJE9sdG8
Fox家庭電影台,tvbus://6geZ8Q1FXN7tbD8UFaBcj
亞洲旅遊台,tvbus://6TGif8EbHMdyDFXSrEwTc
Outdoor,tvbus://5UYzSz2kzSGzc9vkM1LT7
靖天電影台,tvbus://5TwdQ9cS9ytejmgT77nfn
Fight_Sport_HD,tvbus://5bPPQaxBZozxSDVUDR32y
公視3,tvbus://6F5LQ73o1ic8HGkwvdC5Z
華視體育台,tvbus://6bJSUQVVo3EoQuP1S1mA1
國會頻道1,tvbus://6JG8STKz4KFLM5D7nithF
國會頻道2,tvbus://6ABgi8XPMfaivT1965Ad6
美亞電影台,tvbus://6fXbnEVt2xue4aYZga9ER
華納電影,tvbus://5nx3ew6pSzsNypijptouK
美食星球頻道,tvbus://63uxhzeBficQALWigXLju
寰宇綜合台,tvbus://5f4kxWyyy3TUyNbMWFS3v
壹電視資訊綜合台,tvbus://6JoHPN2vJPd74ovcY8E7C
大愛二台,tvbus://5gpZ12gBUN956QP3NRzrm
好消息2,tvbus://6PDiL5v2TyzqJeK9W3V9e
CNBC_Asia_Channel,tvbus://5ZDSmV1dT2PZUXpxX1z6A
BBC_Earth,tvbus://5jkr9rqSSwpXVNyXbTcvX
希望电视台,tvbus://6XAXMTpAZewLnNstKjwys
高點綜合,tvbus://8BnmsVjVRU
EYE_TV旅遊台,tvbus://6jAFC7WRYVnfPVGizQpwk
中天亚洲HD,tvbus://7CVqdKzUR9
探索科學,tvbus://6KC6sWoijKPxJj8XcFzYL
EYE_TV戲劇台,tvbus://5WmNR3P9mdwzYuLBr8ecB
愛爾達體育1台,tvbus://5NTfiiK2rBLvUCEpGRuWd
愛爾達體育2台,tvbus://6eUVgb2q6mR2wN3TuPNmK
愛爾達體育3台,tvbus://63GPxtiHLwo8KLGyPnjBQ
高爾夫美國,tvbus://5keAFkcojbKfrBYtjrFtV
寰宇新聞二台,tvbus://5wxL2ywZEn7YoKudKyqbJ
寰宇新聞台,tvbus://6JKuKpFKftPN5faMaHje6
民視第一台HD,tvbus://6ednGj6km9MMnYffReGPE
